,parkinsons,schizophrenia,alzheimers
parkinsons,0.7649831540006367,0.043947454331414934,-0.15617612040039017
schizophrenia,0.2671421976957474,0.44831339191981345,-0.2798937668503526
alzheimers,0.7256254150223049,0.248390108225425,0.23269192811277667
