label,score
1,-0.07824620630573305
2,-0.06882536117328938
3,-0.10490986912052823
4,-0.1335857093391938
5,0.1510612639270568
6,-0.0939473503227003
7,-0.058234548444930444
8,-0.11400119815070152
9,-0.07970822167706751
10,-0.021769090833314304
11,-0.030423372569012133
12,-0.004017504052312307
13,-0.004602965726492623
14,-0.13163324086694903
15,-0.009567264021616326
16,0.06779394349937662
17,0.14874708565864367
18,-0.03212569115939813
19,0.11903508934892164
20,-0.0114463488743362
21,0.06671141088356647
22,-0.02349975716517031
23,0.03772816352815506
24,-0.16307141735315936
25,-0.09272431397336368
26,-0.018491572372987708
27,-0.03218535744666155
28,-0.07483636267490025
29,-0.07625993660855344
30,-0.03971971316017099
31,0.058495460083190884
32,0.05508763733249756
33,0.12973674103403016
34,-0.002634246161720199
35,0.3445017620948348
36,-0.046693055613680874
37,0.028255685234539637
38,0.15816774150032628
39,-0.15055911244951278
40,0.1299001302747457
41,-0.08251327315532851
42,-0.06205506901459765
43,-0.061296092497342775
44,-0.06854458042570244
45,-0.12514446512427663
46,0.18417249169484975
47,-0.10618159555005625
48,-0.06589029993142799
49,-0.11541222780517754
50,-0.03536101867867725
51,-0.007889764633436377
52,-0.018481145869893384
53,-0.011011569635530426
54,-0.028058748832553517
55,-0.11559254789697065
56,-0.00396205373192905
57,0.07891398294919122
58,0.14687710112938354
59,-0.057513961858810546
60,0.11910019206960938
61,-0.0454728754982548
62,0.07506950681373684
63,-0.05180833827207915
64,0.03921140298010421
65,-0.16942669046491016
66,-0.006805495271020056
67,-0.05435185937143118
68,-0.039907364666375296
69,-0.07173018199070638
70,-0.0856572650679195
71,-0.05863923897430603
72,0.24785867654531396
73,0.06391474359328986
74,0.12830964771056314
75,0.005839822378234963
76,0.35466538566436506
77,-0.024955667781428995
78,-0.011096176148792146
79,0.14402973991626536
80,-0.07645331571617846
81,0.11914631275514602
82,0.021521013504253925
83,0.13507953737837491
