label,score
1,-0.03032539117794285
2,-0.024606363641430685
3,-0.038566599207879616
4,-0.06398194730207142
5,0.07500667744364996
6,0.02813989046292814
7,0.0048557914679955155
8,-0.018408977905634328
9,-0.0680591813469459
10,0.020721491837439824
11,0.03830182362791858
12,-0.033006076448070805
13,0.08527651233886847
14,-0.04042183421707848
15,0.10080912016855731
16,0.13777732801076537
17,0.1842367637498038
18,-0.013431130633615014
19,0.1617212816573799
20,0.013670459605682217
21,0.11346184364406686
22,0.09266119205885041
23,0.07189280928192614
24,-0.10388322184081748
25,0.05042464531918482
26,0.022576300991466288
27,0.048630684972376055
28,-0.024855404560865
29,-0.013572838267917352
30,0.010369433568764129
31,0.02831130177300236
32,0.13546262954004196
33,0.13461181728716393
34,0.07146816812379374
35,0.02388754912277767
36,-0.3174818898490065
37,-0.32125865767685235
38,-0.08592674127568083
39,-0.11421078755879319
40,-0.10463328654296754
41,-0.20017817484159456
42,0.012372116507482921
43,-0.017481821716724064
44,-0.018847149581782456
45,-0.055453801636603274
46,0.09150021986516577
47,0.033186847918613954
48,-0.01088972444471197
49,-0.018550811273374143
50,-0.04196551586671875
51,0.03573293335354272
52,0.053449972063333254
53,-0.04603361205740142
54,0.07504212825228901
55,-0.022591948787985955
56,0.06924107894098683
57,0.14618102776065514
58,0.1717997024639521
59,-0.050129201254502195
60,0.15572466190226186
61,-0.0500101008616317
62,0.11909049324162299
63,0.07272547142674105
64,0.0747633229509713
65,-0.10236748693995655
66,0.07493052993750644
67,0.0033755024482970517
68,0.04521524395030949
69,-0.01902031085859724
70,-0.01917073798123222
71,0.00602444800349459
72,-0.011721271717347954
73,0.10369536947962212
74,0.14091162374806987
75,0.07276705065579504
76,0.01596777710073897
77,-0.27372744678267946
78,-0.34477474038154393
79,-0.10127223320229145
80,-0.07352096745132608
81,-0.10132554511573494
82,-0.1141882524545199
83,-0.11812185336402393
