label,score
1,-0.026152605580743397
2,-0.06336786668478037
3,-0.05891935512898689
4,0.008270726839786115
5,0.07512627971855505
6,-0.03851303331264973
7,-0.012267575460656247
8,-0.07333598261156882
9,-0.03558316336467348
10,0.07093735684162303
11,0.009665715881329494
12,0.08838576375688056
13,0.03998410849506533
14,-0.10479449966011117
15,0.035766796629317366
16,0.08412257243324503
17,0.08287888693503727
18,-0.00043843729873795865
19,0.09205687399269817
20,0.18446391366139434
21,0.08519492836624712
22,-0.018716195362843815
23,0.009612886796001844
24,-0.07419032572874228
25,-0.022732341197827723
26,0.0033406206758382828
27,-0.02396454964979047
28,-0.004127962659363938
29,-0.0483158785170937
30,-0.02902796295255421
31,0.12794138851038775
32,0.06698074860772477
33,0.17196579718540383
34,0.002537035471443925
35,-0.054907886457052885
36,0.018109169290221466
37,-0.09214755167835649
38,0.009222529204474892
39,-0.08060836532337175
40,-0.14387660586717002
41,-0.23546787511567474
42,-0.0239250163122321
43,-0.06020076206281757
44,-0.02992746212550652
45,0.023308649247159627
46,0.10027374103756323
47,-0.04464109990230103
48,-0.02064082865104974
49,-0.07111172419037702
50,-0.023945086877651976
51,0.09549611164630238
52,0.01593959002959472
53,0.07996124944921733
54,0.021421973913071567
55,-0.08857651204322019
56,0.04857909138741461
57,0.10408761902959235
58,0.08886460165557916
59,-0.042179330088109736
60,0.09132022077792931
61,0.1256144969067845
62,0.08103691650973173
63,-0.035358331210420584
64,0.00792095832665427
65,-0.07348739882443876
66,0.01919848779309826
67,-0.023149384033971068
68,-0.031996200660204595
69,-0.003008976902428507
70,-0.054035519657849564
71,-0.03021139838944802
72,0.209270082391252
73,0.046332105707429155
74,0.17447837173051703
75,0.009801103536924581
76,-0.050178883120097585
77,0.029960881375151842
78,-0.10898936826921334
79,0.020545746743832253
80,-0.05020070845484248
81,-0.14958629500232176
82,-0.15159176030581373
83,-0.25157803179040983
