,atrophy_d
35,0.131
36,-0.071
37,-0.136
38,-0.066
39,-0.028
40,-0.02
41,-0.13
76,0.078
77,-0.033
78,-0.135
79,-0.053
80,-0.052
81,-0.031
82,-0.077
