gene
ACMSD
ADAMTS20
BRIP1
BST1
C12orf40
C17orf69
CASC16
CCDC62
CCNT2-AS1
CDC71
CLEC19A
COL3A1
CRHR1
CTNND1
DNAH17
FAM47E-STBD1
FGF20
GCH1
GPR65
GPRIN3
HASPIN
HLA
HLA-DQA1
HLA-DQB
HLA-DRB6
HUSEYO
IGSF9B
IL1R2
ITIH3
KIAA1267
LAMP3
LCORL
LINC00693
LOC642072
LOC644246
LPPR1
MAPT-AS1
MIR4697
NOD2
OR9Q1
PARK16
PARK2
PHF7
PM20D1
POLRMTP1
PWRN4
RAB25
RAB7L1
RN7SL474P
RP11-162I7
RSL24D1P1
SLC44A4
TRIM40
