gene
ALAS1
ANK2
APOE
ARHGAP27
ASH1L
ASXL3
BAG3
BAP1
BCKDK
BICD1
BIN3
C5orf24
C8orf58
CAB39L
CAMK2D
CARS2
CCNT2
CD19
CD38
CERS6
CHD9
CHRNB1
CLCN3
CNTN1
COQ7
CRLS1
CTSB
DCUN1D1
DDRGK1
DGKQ
DIRC1
DLG2
DNAH1
DYRK1A
ELOVL7
FAM126A
FAM171A1
FAM171A2
FAM200B
FAM47E
FAM49B
FBRSL1
FCGR2A
FGD4
FYN
GAK
GALC
GBA
GBAP1
GBF1
GPNMB
GS1-124K5.11
GXYLT1
HIP1R
HIST1H2BL
HLA-DQB1
HLA-DRA
HLA-DRB1
HLA-DRB5
INPP5F
IP6K2
ITGA8
ITIH4
ITPKB
KANSL1
KAT8
KCNIP3
KCNS3
KLHDC1
KLHL7
KPNA1
KRTCAP2
LHFPL2
LOC100131289
LRRC37A3
LRRK2
MAP3K14
MAP4K4
MAPT
MBNL2
MCCC1
MED12L
MEX3C
MICU3
MIPOL1
MUC12
NCKIPSD
NDN
NDUFAF2
NISCH
NSF
NUCKS1
NUPL2
OGFOD2
PAM
PDLIM2
PKP2
PMVK
PRICKLE1
RAB29
RETREG3
RIMS1
RIT2
RNF141
RPS12
RPS6KL1
SATB1
SCAF11
SCARB2
SCN3A
SEMA4A
SETD1A
SH3GL2
SIPA1L2
SLC2A13
SLC41A1
SLC45A3
SNCA
SORBS3
SPPL2B
SPPL2C
SPTSSB
STAB1
STH
STK39
STX1B
SV2C
SYT10
SYT11
SYT17
SYT4
TBC1D5
TEKT4
TIAL1
TLR9
TMEM163
TMEM175
TMEM229B
TOX3
TPM1
UBAP2
UBTF
VAMP4
VPS13C
WDR41
WNT3
ZNF184
ZNF608
ZNF646
